well,condition,tile,fov_token,n_p,totalVolume,n_p_totalVolume,totalArea,number_of_boundary_edges,fraction_of_boundary_edges_n_p,Mean_dgree,Std_dgree,Skewness_dgree,Kurtosis_dgree,q_25_dgree,q_50_dgree,q_75_dgree,Mean_dsc,Std_dsc,Skewness_dsc,Kurtosis_dsc,q_25_dsc,q_50_dsc,q_75_dsc,Mean_edg,Std_edg,Skewness_edg,Kurtosis_edg,q_25_edg,q_50_edg,q_75_edg,Mean_vlms,Std_vlms,Skewness_vlms,Kurtosis_vlms,q_25_vlms,q_50_vlms,q_75_vlms,Mean_fct,Std_fct,Skewness_fct,Kurtosis_fct,q_25_fct,q_50_fct,q_75_fct
B5,DMSO,0,B5_tile_0_fused_tp_0,40,200419.1166,0.00019958,18118.3994,25,0.625,10.35,2.1549,0.42593,2.6374,9,10,12,35.2811,9.6568,-0.57167,2.8877,29.1396,37.7833,41.8634,29.6976,9.3321,0.62969,3.5144,22.9847,28.1808,36.2648,1382.2008,834.5394,0.75525,3.3055,838.4138,1263.0114,1783.4944,393.8782,214.8026,1.2776,4.6447,239.0772,353.3436,476.6539
B5,DMSO,1,B5_tile_1_fused_tp_0,14,29780.847,0.0004701,5124.5308,13,0.92857,7.1429,1.7913,2.6954,9.5419,6,7,7,21.6896,5.7667,-2.4889,8.9201,21.0041,23.0937,24.3095,24.7143,4.8881,0.82065,3.266,21.467,23.968,26.3074,1145.4172,403.463,-1.3978,4.3316,1010.9498,1265.4635,1354.3244,232.9332,49.4187,2.0939,8.1871,196.2954,224.8018,248.7161
B5,DMSO,2,B5_tile_2_fused_tp_0,19,47378.983,0.00040102,6797.5423,16,0.84211,7.7895,1.9026,1.2044,4.3098,7,7,8,23.6714,5.8429,-1.65,4.9424,23.153,25.6183,26.2327,24.2144,5.5932,0.44392,2.8803,19.7885,22.7912,27.4022,1128.071,371.9368,-0.092839,2.9537,886.3188,1086.0798,1400.3381,242.7694,72.967,0.061553,3.1214,195.7447,237.6466,282.4052
B5,DMSO,3,B5_tile_3_fused_tp_0,30,95604.3635,0.00031379,11249.5674,20,0.66667,10.1333,1.7953,0.01541,2.5916,9,10,11,28.3476,7.8864,-0.33306,2.3652,24.8241,29.7948,34.8865,26.7077,8.1924,0.71047,3.3305,20.7965,25.7952,31.0834,910.5177,486.9822,0.5442,3.198,572.8148,877.4836,1177.5001,312.488,168.3271,1.2187,3.9551,188.0025,271.0207,370.9739
B5,DMSO,4,B5_tile_4_fused_tp_0,14,16998.1747,0.00082362,3671.7277,13,0.92857,7.1429,1.2924,0.6158,3.142,6,7,8,18.7146,4.7747,-1.1092,4.2525,16.5372,19.1895,22.4389,20.9408,4.8543,0.57339,2.7693,17.2362,19.9098,23.6303,653.7759,259.1055,-0.20608,3.5248,514.9982,670.0645,777.6362,166.8967,41.42,-0.55746,2.996,143.8376,169.079,196.7369
B5,DMSO,5,B5_tile_5_fused_tp_0,44,162462.8839,0.00027083,15315.6134,29,0.65909,9.9091,2.3705,0.68155,2.7207,8,9,11.5,32.0788,8.5944,-1.0865,3.5419,24.1577,34.9198,37.517,25.0311,6.483,0.9674,4.1741,20.0204,24.6391,28.8367,1097.7222,484.1491,0.41272,3.9285,820.8917,1080.8727,1352.3728,283.6225,112.5075,0.77394,2.7093,190.9176,255.2276,350.9963
B5,DMSO,6,B5_tile_6_fused_tp_0,42,159340.54,0.00026359,16157.5295,27,0.64286,10.4286,2.1543,1.3284,5.2064,9,10,11,32.7139,12.3131,1.4108,6.6413,26.9544,32.4639,37.363,28.2978,13.8382,2.2704,7.9563,20.5369,23.9081,29.0991,1041.4414,573.0298,1.0576,6.3853,754.3678,1016.8163,1293.311,323.1506,199.5619,1.5159,4.5767,194.3222,255.3955,367.4436
B5,DMSO,7,B5_tile_7_fused_tp_0,44,199793.7997,0.00022023,18197.0126,23,0.52273,10.5909,2.518,0.47095,2.6141,9,10,12,36.3518,9.5204,-0.43738,2.4293,31.6954,37.021,43.4282,28.6775,11.6138,0.90091,4.9897,21.0337,28.4019,34.5879,1182.2118,993.6047,1.633,5.9227,497.5225,925.0968,1557.2101,433.2622,285.8034,1.1665,3.6894,217.5643,359.5029,528.0927
B5,DMSO,8,B5_tile_8_fused_tp_0,47,211009.7325,0.00022274,18406.8504,29,0.61702,10.7234,2.2234,1.049,4.8741,9,11,12,34.1408,9.744,-0.70632,2.4127,27.5758,36.5452,42.1729,27.8198,8.7774,1.0022,4.6431,21.4511,26.4939,32.6611,1178.8253,639.1011,0.33276,2.9575,659.9067,1186.7282,1599.6397,340.8676,204.8758,1.7508,7.1401,207.367,291.144,394.2565
B5,DMSO,9,B5_tile_9_fused_tp_0,36,130334.5831,0.00027621,13249.9864,24,0.66667,10.2222,2.4391,1.2477,4.4446,8.5,10,11,30.71,7.3109,-0.98865,2.9157,25.9658,33.8617,35.364,26.0751,6.4779,0.31979,3.116,21.4867,25.9141,29.9062,1026.2566,519.3771,0.41685,3.6834,637.3945,1028.721,1369.7446,301.1361,130.6324,0.34323,2.5401,204.3214,294.2686,397.7283
B6,DMSO,0,B6_tile_0_fused_tp_0,37,160928.485,0.00022992,15825.1543,22,0.59459,10.2703,1.9529,0.47621,2.5742,9,10,12,33.0336,9.0102,-0.5128,2.1372,27.254,34.9198,40.8914,28.0176,9.2707,0.73929,3.902,21.5649,27.0158,33.0619,1200.9588,772.603,0.94564,3.5982,595.9736,1137.84,1506.6505,395.6289,238.4968,2.0488,9.4883,231.796,376.0432,474.6155
B6,DMSO,1,B6_tile_1_fused_tp_0,22,59572.6072,0.0003693,8435.553,17,0.77273,9.0909,2.0449,0.31936,3.0218,8,9,10,26.0733,7.5868,-0.6277,3.051,21.5383,26.8142,31.7627,26.0268,8.3637,0.31749,3.2052,20.1904,25.8086,31.2243,930.822,795.8361,2.3713,9.1964,460.6816,706.6205,1174.2402,281.1851,153.0159,1.8804,7.9782,176.1423,264.5861,320.7805
B6,DMSO,2,B6_tile_2_fused_tp_0,20,210624.412,9.4956e-05,20378.2161,14,0.7,8.5,1.9331,0.29154,2.0879,7,8.5,10,43.7491,10.4755,-0.42157,2.0653,35.1092,45.8057,51.9936,43.2301,18.6558,0.54608,2.8891,29.152,41.8222,55.1321,3900.4521,3299.1626,1.3722,4.5605,1520.7856,2768.1226,5681.0851,849.0923,635.4104,1.646,5.7532,362.9846,750.624,1078.694
B6,DMSO,3,B6_tile_3_fused_tp_0,20,71402.4069,0.0002801,9656.8878,16,0.8,9,1.8353,0.26204,2.4805,8,8.5,10.5,29.611,7.8489,-0.64708,3.2965,26.2028,30.2358,35.4884,31.3516,11.2338,0.87285,4.3818,24.0039,30.2236,36.642,1252.6738,859.7036,0.54118,2.3547,503.0749,1174.7124,1903.6073,344.8889,245.9717,1.7407,6.9602,157.2808,322.368,440.3069
B6,DMSO,4,B6_tile_4_fused_tp_0,43,138878.3105,0.00030962,13763.2679,29,0.67442,10.6512,2.7506,0.93927,3.7297,9,10,12,30.3201,7.7923,-0.84645,2.4403,25.1873,33.6106,36.13,24.7011,6.6129,0.34786,2.9831,19.7436,24.6278,28.7358,867.9894,472.3184,0.67291,3.1044,507.3907,812.3203,1138.0291,254.8753,130.885,1.2714,5.4168,161.455,233.6901,319.5812
B6,DMSO,5,B6_tile_5_fused_tp_0,46,199753.5005,0.00023028,18180.2158,28,0.6087,10.6957,2.4843,0.56397,2.1443,9,10,13,35.143,9.0751,-0.44488,2.5514,27.3456,35.5751,42.6128,27.8986,8.9938,0.54128,3.3231,21.8099,26.895,33.2196,1141.4486,727.0689,0.48904,2.4945,507.6798,1063.6935,1616.647,349.6195,177.8162,0.41235,2.9233,246.555,337.323,461.1835
B6,DMSO,6,B6_tile_6_fused_tp_0,56,186773.5533,0.00029983,16812.1642,27,0.48214,11.5,2.0976,1.1569,5.0694,10,11,12,32.2714,8.6787,-0.8175,3.3233,29.0852,33.5455,39.108,24.611,7.4006,1.2459,5.3941,19.5096,23.4785,28.0782,771.7915,376.9281,0.22977,2.513,465.1769,774.2609,1054.6339,336.2433,164.1809,0.82379,3.1025,207.9023,298.9673,419.4696
B6,DMSO,7,B6_tile_7_fused_tp_0,15,31444.6527,0.00047703,5331.6094,14,0.93333,7.2,1.6125,1.8877,6.2788,6,7,7.75,22.1082,4.726,-1.0108,4.4832,20.8184,21.8845,25.1496,24.2623,5.7265,0.49704,4.4469,20.2865,24.0863,26.6916,1123.0233,524.7032,-0.60505,2.4461,966.1027,1197.0336,1465.2787,222.1504,73.3126,0.11648,3.3963,178.1552,226.3859,255.2486
B6,DMSO,8,B6_tile_8_fused_tp_0,42,122425.997,0.00034306,12608.7792,31,0.7381,10.4286,2.6882,1.0747,4.0257,8,10,12,29.4088,7.7391,-1.1826,3.4943,27.1807,32.542,33.687,24.396,7.0203,0.46871,3.8729,19.6967,24.1462,29.0849,821.651,454.1539,0.73347,3.4187,476.7245,749.7902,1066.8497,217.3927,101.5341,0.9628,3.868,142.2874,201.6921,263.1654
B6,DMSO,9,B6_tile_9_fused_tp_0,6,4771.598,0.0012574,2201.7642,6,1,4.6667,0.5164,-0.70711,1.5,4,5,5,19.6324,3.9179,0.94899,2.5153,16.6784,18.2819,21.8415,28.4955,9.2207,-0.50921,2.5664,22.4932,29.3561,35.3684,954.3196,834.6667,0.54219,2.1083,308.5508,879.9612,1473.1011,275.2205,135.2943,0.3135,1.4639,144.4346,244.2583,407.2614
B7,DMSO,0,B7_tile_0_fused_tp_0,42,121770.6291,0.00034491,12605.0766,32,0.7619,10.1429,2.7636,1.4569,4.5983,8,10,10,30.1374,7.0663,-1.3347,4.4133,29.5574,31.4404,33.3185,24.1284,6.3492,0.86791,5.0042,19.9353,23.0878,28.2354,857.5396,439.3882,0.1434,2.8377,500.3846,900.3962,1143.3321,210.0846,95.0666,1.0873,4.2246,154.0392,195.4661,238.545
B7,DMSO,1,B7_tile_1_fused_tp_0,36,185552.7347,0.00019401,18523.4041,19,0.52778,10.8889,1.9387,0.15866,2.8372,10,11,12,33.7639,12.5251,0.23436,3.1844,25.0148,32.6853,40.5821,31.9308,14.7241,1.2881,5.5366,22.6437,28.3643,39.0221,1288.5607,1038.1508,0.78767,2.366,474.7548,935.366,2132.4189,544.806,570.7105,2.6238,10.6262,169.2689,456.5245,583.2642
B7,DMSO,2,B7_tile_2_fused_tp_0,37,108595.0876,0.00034072,11905.2165,29,0.78378,10,2.6247,0.7289,3.4555,8,10,11,30.3023,6.5731,-1.0483,3.7322,26.8979,32.2512,34.453,25.0556,7.1397,0.54893,4.9675,20.8294,24.8957,29.6589,890.1237,575.5691,0.62251,3.1045,462.8714,803.7827,1269.0686,220.467,115.8386,0.8011,2.7557,120.1393,205.2729,296.8873
B7,DMSO,3,B7_tile_3_fused_tp_0,16,14064.7281,0.0011376,3142.7632,14,0.875,7.75,2.0817,2.7249,10.689,7,7,8,17.1771,3.0879,-1.497,5.6829,15.9528,17.4038,19.5152,18.8742,5.1696,-0.11749,2.0677,14.3919,19.047,23.0878,401.8494,235.622,0.32395,2.4309,281.3219,363.1059,584.7904,130.9485,60.072,0.8431,3.3974,79.8067,128.4231,168.8755
B7,DMSO,4,B7_tile_4_fused_tp_0,53,204405.9475,0.00025929,17631.814,31,0.58491,11.2075,2.3399,0.65653,2.8229,10,11,12,33.0867,9.1317,-0.76627,2.6856,26.3991,35.8476,40.2507,25.3578,7.1817,0.51287,3.2642,19.8478,24.4732,30.0068,946.3238,588.6678,1.2676,6.2501,540.863,878.0587,1261.1861,303.9968,145.1889,0.84072,3.6331,213.8774,271.1482,398.3953
B7,DMSO,5,B7_tile_5_fused_tp_0,28,66428.6528,0.0004215,8730.596,18,0.64286,9.8571,2.223,0.079876,2.0744,8,10,12,24.4934,8.3202,-0.70436,2.4466,19.5011,26.5564,30.9322,23.5889,7.4976,0.44562,3.8482,18.9814,23.7882,27.5553,699.249,415.6971,0.65866,2.4107,385.5626,568.8024,984.9859,272.8311,122.5189,0.43456,2.4053,192.9517,243.3169,352.1657
B7,DMSO,6,B7_tile_6_fused_tp_0,19,33854.9742,0.00056122,5569.7504,18,0.94737,8,2.0276,2.0542,8.7505,7,8,8.75,22.0712,5.1729,-1.5516,6.4744,19.2658,22.1835,26.3982,22.5333,5.32,0.63546,3.933,18.8669,22.0276,25.824,806.0708,320.1504,0.057054,2.6402,568.126,805.7187,1050.1163,174.0547,66.8343,1.1274,4.9132,134.9432,164.9709,192.5231
B7,DMSO,7,B7_tile_7_fused_tp_0,25,50754.9468,0.00049256,7340.9224,19,0.76,9.28,2.3007,1.1793,4.447,7.75,9,10,24.3598,5.5921,-0.52327,3.0384,20.1071,24.5714,28.8964,23.149,6.5075,0.49792,3.0293,18.258,22.5649,26.8009,676.7326,422.0136,0.44855,2.4716,277.0855,620.3536,997.7716,215.9095,105.1338,0.84614,2.8721,139.2625,185.4949,264.6355
B7,DMSO,8,B7_tile_8_fused_tp_0,51,233269.1418,0.00021863,19649.2664,26,0.5098,11.098,2.377,0.53219,2.9956,9.25,11,12.75,35.3389,9.613,-0.59307,2.3542,28.2241,38.666,43.2135,27.5933,9.1103,0.69599,3.945,21.6259,26.273,32.7503,1116.1203,713.2372,1.104,5.2733,596.3106,1017.8607,1571.3999,409.3597,201.8758,0.72732,3.5334,287.8513,375.6599,519.3992
B7,DMSO,9,B7_tile_9_fused_tp_0,17,23730.4525,0.00071638,4447.4354,17,1,7.0588,2.4867,2.8469,11.2688,6,7,7,20.9404,3.0196,-0.4612,2.937,19.892,20.9888,22.8556,21.4923,5.9642,0.4626,2.5036,16.7729,20.2287,25.7099,818.2915,464.8443,0.14706,2.6458,476.0967,841.8358,1044.8619,148.2478,50.7221,0.92744,3.6528,118.0104,134.4442,176.9197
B8,DMSO,0,B8_tile_0_fused_tp_0,26,65540.4657,0.0003967,8656.624,20,0.76923,9.2308,2.2682,1.7222,6.4789,8,9,10,25.8374,6.4037,-0.73665,2.2082,20.2453,28.1247,30.8237,24.5159,7.1518,0.69303,3.6078,19.3471,23.5762,28.6157,851.1749,426.5138,0.24648,2.5754,582.4309,802.3803,1157.7874,240.4618,123.707,1.36,5.2546,160.9011,228.0892,287.7267
